id	nom	prenom	telephone	email	adresse	ville	notes	defaultTarifId	statut	dateCreation
CLIENT_013	Lemaire	Nicolas	0644567890	nicolas.lemaire@gmail.com	88 Rue du Commerce	76000 Rouen		TARIF_ECO	actif	2025-01-01T12:00:00.000Z
CLIENT_014	Chevalier	Chloe	0655678901	chloe.chevalier@gmail.com	22 Avenue Foch	51100 Reims		TARIF_VIP	actif	2025-01-01T12:15:00.000Z
CLIENT_015	Morel	Alexandre	0666789012	alexandre.morel@gmail.com	55 Rue Victor Hugo	14000 Caen		TARIF_STANDARD	actif	2025-01-01T12:30:00.000Z
CLIENT_016	Laurent	Isabelle	0677890123	isabelle.laurent@gmail.com	78 Boulevard de la Mer	17000 La Rochelle		TARIF_LOWCOST	actif	2025-01-01T12:45:00.000Z
CLIENT_017	Guillot	Mathieu	0688901234	mathieu.guillot@gmail.com	11 Rue des Arts	29200 Brest		TARIF_ATELIER	actif	2025-01-01T13:00:00.000Z
CLIENT_018	Dumas	Sarah	0699012345	sarah.dumas@gmail.com	44 Avenue de l’Opéra	80000 Amiens		TARIF_PREMIUM	inactif	2025-01-01T13:15:00.000Z
CLIENT_019	Brun	Julien	0610123456	julien.brun@gmail.com	77 Rue de la République	45000 Orléans		TARIF_ECO	actif	2025-01-01T13:30:00.000Z
CLIENT_020	Lemoine	Caroline	0621234567	caroline.lemoine@gmail.com	99 Boulevard du Parc	72000 Le Mans		TARIF_VIP	actif	2025-01-01T13:45:00.000Z
CLIENT_021	Renard	François	0632345678	francois.renard@gmail.com	32 Rue de la Gare	25000 Besançon		TARIF_STANDARD	actif	2025-01-01T14:00:00.000Z
CLIENT_022	Garnier	Céline	0643456789	celine.garnier@gmail.com	65 Avenue des Vosges	67000 Strasbourg		TARIF_LOWCOST	actif	2025-01-01T14:15:00.000Z
CLIENT_023	Perrin	David	0654567890	david.perrin@gmail.com	98 Rue du Château	49000 Angers		TARIF_ATELIER	inactif	2025-01-01T14:30:00.000Z
CLIENT_024	Robin	Manon	0665678901	manon.robin@gmail.com	21 Boulevard des Capucines	64000 Pau		TARIF_PREMIUM	actif	2025-01-01T14:45:00.000Z
CLIENT_025	Collet	Étienne	0676789012	etienne.collet@gmail.com	54 Rue de Verdun	30000 Nîmes		TARIF_ECO	actif	2025-01-01T15:00:00.000Z
CLIENT_026	Bourgeois	Alice	0687890123	alice.bourgeois@gmail.com	87 Avenue Jean Jaurès	38000 Grenoble		TARIF_VIP	actif	2025-01-01T15:15:00.000Z
CLIENT_027	Marchand	Guillaume	0698901234	guillaume.marchand@gmail.com	10 Rue des Fleurs	42000 Saint-Étienne		TARIF_STANDARD	actif	2025-01-01T15:30:00.000Z
CLIENT_028	Gauthier	Élodie	0619012345	elodie.gauthier@gmail.com	43 Boulevard Carn572ot	69000 Lyon		TARIF_LOWCOST	inactif	2025-01-01T15:45:00.000Z
CLIENT_029	Carre	Adrien	0620123456	adrien.carre@gmail.com	76 Rue de l’Église	13000 Aix-en-Provence		TARIF_ATELIER	actif	2025-01-01T16:00:00.000Z
CLIENT_030	Bailly	Nathalie	0631234567	nathalie.bailly@gmail.com	109 Avenue de la Plage	33000 Bordeaux		TARIF_PREMIUM	actif	2025-01-01T16:15:00.000Z
CLIENT_031	Fontaine	Benjamin	0642345678	benjamin.fontaine@gmail.com	13 Rue des Peupliers	31000 Toulouse		TARIF_ECO	actif	2025-01-01T16:30:00.000Z
CLIENT_032	Guerin	Valérie	0653456789	valerie.guerin@gmail.com	46 Boulevard de l’Hôpital	75013 Paris		TARIF_VIP	actif	2025-01-01T16:45:00.000Z
CLIENT_033	Monnier	Vincent	0664567890	vincent.monnier@gmail.com	79 Rue de la Poste	69003 Lyon		TARIF_STANDARD	inactif	2025-01-01T17:00:00.000Z
CLIENT_034	Riviere	Lucie	0675678901	lucie.riviere@gmail.com	112 Avenue des Roses	13008 Marseille		TARIF_LOWCOST	actif	2025-01-01T17:15:00.000Z
CLIENT_035	Charpentier	Hugo	0686789012	hugo.charpentier@gmail.com	24 Rue du Marché	33000 Bordeaux		TARIF_ATELIER	actif	2025-01-01T17:30:00.000Z
CLIENT_036	Barre	Anaïs	0697890123	anais.barre@gmail.com	57 Boulevard de la Liberté	44000 Nantes		TARIF_PREMIUM	actif	2025-01-01T17:45:00.000Z
CLIENT_037	Fabre	Quentin	0618901234	quentin.fabre@gmail.com	90 Rue des Sports	59000 Lille		TARIF_ECO	actif	2025-01-01T18:00:00.000Z
CLIENT_038	Michaud	Clara	0629012345	clara.michaud@gmail.com	122 Avenue de l’Europe	67000 Strasbourg		TARIF_VIP	inactif	2025-01-01T18:15:00.000Z
CLIENT_039	Leger	Mathis	0630123456	mathis.leger@gmail.com	14 Rue de la Mairie	06000 Nice		TARIF_STANDARD	actif	2025-01-01T18:30:00.000Z
CLIENT_040	Roussel	Amélie	0641234567	amelie.roussel@gmail.com	47 Boulevard des Étoiles	34000 Montpellier		TARIF_LOWCOST	actif	2025-01-01T18:45:00.000Z
CLIENT_041	Dupuy	Olivier	0652345678	olivier.dupuy@gmail.com	80 Rue des Jardins	35000 Rennes		TARIF_ATELIER	actif	2025-01-01T19:00:00.000Z
CLIENT_042	Bonnet	Zoé	0663456789	zoe.bonnet@gmail.com	113 Avenue du Parc	21000 Dijon		TARIF_PREMIUM	actif	2025-01-01T19:15:00.000Z
CLIENT_043	Gillet	Romain	0674567890	romain.gillet@gmail.com	25 Rue de la Paix	76000 Rouen		TARIF_ECO	inactif	2025-01-01T19:30:00.000Z
CLIENT_044	Barbier	Léa	0685678901	lea.barbier@gmail.com	58 Boulevard Victor Hugo	51100 Reims		TARIF_VIP	actif	2025-01-01T19:45:00.000Z
CLIENT_045	Bouvier	Arthur	0696789012	arthur.bouvier@gmail.com	91 Rue du Port	14000 Caen		TARIF_STANDARD	actif	2025-01-01T20:00:00.000Z
CLIENT_046	Carlier	Justine	0617890123	justine.carlier@gmail.com	124 Avenue de la Mer	17000 La Rochelle		TARIF_LOWCOST	actif	2025-01-01T20:15:00.000Z
CLIENT_047	Delorme	Éric	0628901234	eric.delorme@gmail.com	16 Rue des Arts	29200 Brest		TARIF_ATELIER	actif	2025-01-01T20:30:00.000Z
CLIENT_048	Noel	Maëlle	0639012345	maelle.noel@gmail.com	49 Boulevard de l’Opéra	80000 Amiens		TARIF_PREMIUM	actif	2025-01-01T20:45:00.000Z
CLIENT_049	Perrot	Simon	0640123456	simon.perrot@gmail.com	82 Rue de la République	45000 Orléans		TARIF_ECO	inactif	2025-01-01T21:00:00.000Z
CLIENT_050	Menard	Éloïse	0651234567	eloise.menard@gmail.com	115 Boulevard du Parc	72000 Le Mans		TARIF_VIP	actif	2025-01-01T21:15:00.000Z
CLIENT_051	Colin	Florian	0662345678	florian.colin@gmail.com	17 Rue de la Gare	25000 Besançon		TARIF_STANDARD	actif	2025-01-01T21:30:00.000Z
CLIENT_052	Blanchard	Sandrine	0673456789	sandrine.blanchard@gmail.com	50 Avenue des Vosges	67000 Strasbourg		TARIF_LOWCOST	actif	2025-01-01T21:45:00.000Z
CLIENT_053	Guillou	Maxime	0684567890	maxime.guillou@gmail.com	83 Rue du Château	49000 Angers		TARIF_ATELIER	actif	2025-01-01T22:00:00.000Z
CLIENT_054	Morin	Léna	0695678901	lena.morin@gmail.com	116 Boulevard des Capucines	64000 Pau		TARIF_PREMIUM	actif	2025-01-01T22:15:00.000Z
CLIENT_055	Chevallier	Théo	0616789012	theo.chevallier@gmail.com	29 Rue de Verdun	30000 Nîmes		TARIF_ECO	actif	2025-01-01T22:30:00.000Z
CLIENT_056	Girault	Camille	0627890123	camille.girault@gmail.com	62 Avenue Jean Jaurès	38000 Grenoble		TARIF_VIP	actif	2025-01-01T22:45:00.000Z
CLIENT_057	Lemoine	Antoine	0638901234	antoine.lemoine2@gmail.com	95 Rue des Fleurs	42000 Saint-Étienne		TARIF_STANDARD	inactif	2025-01-01T23:00:00.000Z
CLIENT_058	Duval	Marion	0649012345	marion.duval@gmail.com	128 Boulevard Carnot	69000 Lyon		TARIF_LOWCOST	actif	2025-01-01T23:15:00.000Z
CLIENT_059	Rey	Émilie	0650123456	emilie.rey@gmail.com	20 Rue de l’Église	13000 Aix-en-Provence		TARIF_ATELIER	actif	2025-01-01T23:30:00.000Z
CLIENT_060	Allard	Lucas	0661234567	lucas.allard@gmail.com	53 Avenue de la Plage	33000 Bordeaux		TARIF_PREMIUM	actif	2025-01-01T23:45:00.000Z
CLIENT_061	Benoit	Charlotte	0672345678	charlotte.benoit@gmail.com	86 Rue des Peupliers	31000 Toulouse		TARIF_ECO	actif	2025-01-02T00:00:00.000Z
CLIENT_062	Lecomte	Mathilde	0683456789	mathilde.lecomte@gmail.com	119 Boulevard de l’Hôpital	75013 Paris		TARIF_VIP	actif	2025-01-02T00:15:00.000Z
CLIENT_063	Moreau	Adrien	0694567890	adrien.moreau2@gmail.com	31 Rue de la Poste	69003 Lyon		TARIF_STANDARD	actif	2025-01-02T00:30:00.000Z
CLIENT_064	Gautier	Inès	0615678901	ines.gautier@gmail.com	64 Avenue des Roses	13008 Marseille		TARIF_LOWCOST	inactif	2025-01-02T00:45:00.000Z
CLIENT_065	Richard	Hugo	0626789012	hugo.richard@gmail.com	97 Rue du Marché	33000 Bordeaux		TARIF_ATELIER	actif	2025-01-02T01:00:00.000Z
CLIENT_066	Lefevre	Clément	0637890123	clement.lefevre@gmail.com	130 Boulevard de la Liberté	44000 Nantes		TARIF_PREMIUM	actif	2025-01-02T01:15:00.000Z
CLIENT_067	Dupont	Manon	0648901234	manon.dupont2@gmail.com	22 Rue des Sports	59000 Lille		TARIF_ECO	actif	2025-01-02T01:30:00.000Z
CLIENT_068	Martin	Léo	0659012345	leo.martin@gmail.com	55 Avenue de l’Europe	67000 Strasbourg		TARIF_VIP	actif	2025-01-02T01:45:00.000Z
CLIENT_069	Durand	Éva	0660123456	eva.durand@gmail.com	88 Rue de la Mairie	06000 Nice		TARIF_STANDARD	actif	2025-01-02T02:00:00.000Z
CLIENT_070	Leroy	Noah	0671234567	noah.leroy@gmail.com	121 Boulevard des Étoiles	34000 Montpellier		TARIF_LOWCOST	actif	2025-01-02T02:15:00.000Z
CLIENT_071	Bernard	Lou	0682345678	lou.bernard@gmail.com	14 Rue des Jardins	35000 Rennes		TARIF_ATELIER	inactif	2025-01-02T02:30:00.000Z
CLIENT_072	Dubois	Emma	0693456789	emma.dubois2@gmail.com	47 Avenue du Parc	21000 Dijon		TARIF_PREMIUM	actif	2025-01-02T02:45:00.000Z
CLIENT_073	Moreau	Théo	0614567890	theo.moreau2@gmail.com	80 Rue de la Paix	76000 Rouen		TARIF_ECO	actif	2025-01-02T03:00:00.000Z
CLIENT_074	Roux	Chloé	0625678901	chloe.roux2@gmail.com	113 Boulevard Victor Hugo	51100 Reims		TARIF_VIP	actif	2025-01-02T03:15:00.000Z
CLIENT_075	Simon	Louis	0636789012	louis.simon2@gmail.com	25 Rue du Port	14000 Caen		TARIF_STANDARD	actif	2025-01-02T03:30:00.000Z
CLIENT_076	Fournier	Julie	0647890123	julie.fournier2@gmail.com	58 Avenue de la Mer	17000 La Rochelle		TARIF_LOWCOST	actif	2025-01-02T03:45:00.000Z
CLIENT_077	Girard	Thomas	0658901234	thomas.girard2@gmail.com	91 Rue des Arts	29200 Brest		TARIF_ATELIER	actif	2025-01-02T04:00:00.000Z
CLIENT_078	Blanc	Laura	0669012345	laura.blanc2@gmail.com	124 Boulevard de l’Opéra	80000 Amiens		TARIF_PREMIUM	actif	2025-01-02T04:15:00.000Z
CLIENT_079	Lemaire	Nicolas	0670123456	nicolas.lemaire2@gmail.com	16 Rue de la République	45000 Orléans		TARIF_ECO	inactif	2025-01-02T04:30:00.000Z
CLIENT_080	Chevalier	Chloé	0681234567	chloe.chevalier2@gmail.com	49 Boulevard du Parc	72000 Le Mans		TARIF_VIP	actif	2025-01-02T04:45:00.000Z
CLIENT_081	Morel	Alexandre	0692345678	alexandre.morel2@gmail.com	82 Rue de la Gare	25000 Besançon		TARIF_STANDARD	actif	2025-01-02T05:00:00.000Z
CLIENT_082	Laurent	Isabelle	0613456789	isabelle.laurent2@gmail.com	115 Avenue des Vosges	67000 Strasbourg		TARIF_LOWCOST	actif	2025-01-02T05:15:00.000Z
CLIENT_083	Guillot	Mathieu	0624567890	mathieu.guillot2@gmail.com	17 Rue du Château	49000 Angers		TARIF_ATELIER	actif	2025-01-02T05:30:00.000Z
CLIENT_084	Dumas	Sarah	0635678901	sarah.dumas2@gmail.com	50 Boulevard des Capucines	64000 Pau		TARIF_PREMIUM	actif	2025-01-02T05:45:00.000Z
CLIENT_085	Brun	Julien	0646789012	julien.brun2@gmail.com	83 Rue de Verdun	30000 Nîmes		TARIF_ECO	actif	2025-01-02T06:00:00.000Z
CLIENT_086	Lemoine	Caroline	0657890123	caroline.lemoine2@gmail.com	116 Avenue Jean Jaurès	38000 Grenoble		TARIF_VIP	actif	2025-01-02T06:15:00.000Z
CLIENT_087	Renard	François	0668901234	francois.renard2@gmail.com	29 Rue des Fleurs	42000 Saint-Étienne		TARIF_STANDARD	actif	2025-01-02T06:30:00.000Z
CLIENT_088	Garnier	Céline	0679012345	celine.garnier2@gmail.com	62 Boulevard Carnot	69000 Lyon		TARIF_LOWCOST	inactif	2025-01-02T06:45:00.000Z
CLIENT_089	Perrin	David	0680123456	david.perrin2@gmail.com	95 Rue de l’Église	13000 Aix-en-Provence		TARIF_ATELIER	actif	2025-01-02T07:00:00.000Z
CLIENT_090	Robin	Manon	0691234567	manon.robin2@gmail.com	128 Avenue de la Plage	33000 Bordeaux		TARIF_PREMIUM	actif	2025-01-02T07:15:00.000Z
CLIENT_091	Collet	Étienne	0612345678	etienne.collet2@gmail.com	20 Rue des Peupliers	31000 Toulouse		TARIF_ECO	actif	2025-01-02T07:30:00.000Z
CLIENT_092	Bourgeois	Alice	0623456789	alice.bourgeois2@gmail.com	53 Boulevard de l’Hôpital	75013 Paris		TARIF_VIP	actif	2025-01-02T07:45:00.000Z
CLIENT_093	Marchand	Guillaume	0634567890	guillaume.marchand2@gmail.com	86 Rue de la Poste	69003 Lyon		TARIF_STANDARD	actif	2025-01-02T08:00:00.000Z
CLIENT_094	Gauthier	Élodie	0645678901	elodie.gauthier2@gmail.com	119 Avenue des Roses	13008 Marseille		TARIF_LOWCOST	actif	2025-01-02T08:15:00.000Z
CLIENT_095	Carre	Adrien	0656789012	adrien.carre2@gmail.com	31 Rue du Marché	33000 Bordeaux		TARIF_ATELIER	actif	2025-01-02T08:30:00.000Z
CLIENT_096	Bailly	Nathalie	0667890123	nathalie.bailly2@gmail.com	64 Boulevard de la Liberté	44000 Nantes		TARIF_PREMIUM	actif	2025-01-02T08:45:00.000Z
CLIENT_097	Fontaine	Benjamin	0678901234	benjamin.fontaine2@gmail.com	97 Rue des Sports	59000 Lille		TARIF_ECO	actif	2025-01-02T09:00:00.000Z
CLIENT_098	Guerin	Valérie	0689012345	valerie.guerin2@gmail.com	130 Avenue de l’Europe	67000 Strasbourg		TARIF_VIP	actif	2025-01-02T09:15:00.000Z
CLIENT_099	Monnier	Vincent	0690123456	vincent.monnier2@gmail.com	22 Rue de la Mairie	06000 Nice		TARIF_STANDARD	actif	2025-01-02T09:30:00.000Z
CLIENT_100	Riviere	Lucie	0611234567	lucie.riviere2@gmail.com	55 Boulevard des Étoiles	34000 Montpellier		TARIF_LOWCOST	actif	2025-01-02T09:45:00.000Z
